parent_code,code,name
34898944,34246785,Великоновосілківський РВ ДВС ГТУЮ у Донецькій області
34898944,34782767,Волноваський РВ ДВС ГТУЮ у Донецькій області
34898944,34626677,Нікольський РВ ДВС ГТУЮ у Донецькій області
34898944,34032339,Вугледарський МВ ДВС ГТУЮ у Донецькій області
34898944,34550933,Добропільський МРВ ДВС ГТУЮ у Донецькій області
34898944,34686377,Торецький МВ ДВС ГТУЮ у Донецькій області
34898944,34827868,Мирноградський МВ ДВС ГТУЮ у Донецькій області
34898944,34908999,Дружківський МВ ДВС ГТУЮ у Донецькій області
34898944,4908779,Жовтневий відділ ДВС м. Маріуполь ГТУЮ у Донецькій області
34898944,4908758,Кальміуський відділ ДВС м. Маріуполь ГТУЮ у Донецькій області
34898944,35035126,Костянтинівський МРВ ДВС ГТУЮ у Донецькій області
34898944,34991191,Краматорський МВ ДВС ГТУЮ у Донецькій області
34898944,34941051,Покровський МРВ ДВС ГТУЮ у Донецькій області
34898944,34843811,Лиманський МВ ДВС ГТУЮ у Донецькій області 
34898944,34849572,Мар'їнський РВ ДВС ГТУЮ у Донецькій області
34898944,34766842,Новогродівський МВ ДВС ГТУЮ у Донецькій області
34898944,34125433,Олександрівський РВ ДВС ГТУЮ у Донецькій області
34898944,34908763,Лівобережний відділ ДВС м. Маріуполь ГТУЮ у Донецькій області
34898944,34777173,Першотравневий РВ ДВС ГТУЮ у Донецькій області
34898944,34908792,Приморський відділ ДВС м. Маріуполь ГТУЮ у Донецькій області
34898944,34908365,Селидівський МВ ДВС ГТУЮ у Донецькій області
34898944,34974684,Слов'янський МРВ ДВС ГТУЮ у Донецькій області
0,34900660,ГТУЮ у Житомирській області
34900660,35021511,Богунський ВДВС м. Житомир ГТУЮ у Житомирській області 
34900660,35021396,Корольовський ВДВС м. Житомир ГТУЮ у Житомирській області 
34900660,35006362,Бердичівський МРВ ДВС ГТУЮ у Житомирській області 
34900660,34855429,Коростенський МРВ ДВС ГТУЮ у Житомирській області 
34900660,34649013,Новоград-Волинський МРВ ДВС ГТУЮ у Житомирській області 
34900660,34747264,Андрушівський РВ ДВС ГТУЮ у Житомирській області 
34900660,34325903,Баранівський РВ ДВС ГТУЮ у Житомирській області 
34900660,35006818,Брусилівський РВ ДВС ГТУЮ у Житомирській області 
34900660,34152603,Володарсько-Волинський РВ ДВС ГТУЮ у Житомирській області 
34900660,34547208,Ємільчинський РВ ДВС ГТУЮ у Житомирській області 
34900660,34973387,Житомирський РВ ДВС ГТУЮ у Житомирській області 
34900660,35006734,Коростишівський РВ ДВС ГТУЮ у Житомирській області 
34900660,34196787,Лугинський РВ ДВС ГТУЮ у Житомирській області 
34900660,34403389,Любарський РВ ДВС ГТУЮ у Житомирській області 
34900660,34829095,Малинський РВ ДВС ГТУЮ у Житомирській області
34900660,34563429,Народицький РВ ДВС ГТУЮ у Житомирській області 
34900660,34799223,Овруцький РВ ДВС ГТУЮ у Житомирській області 
34900660,34900942,Олевський РВ ДВС ГТУЮ у Житомирській області 
34900660,34723924,Попільнянський РВ ДВС ГТУЮ у Житомирській області 
34900660,34534670,Радомишльський РВ ДВС ГТУЮ у Житомирській області 
34900660,34841620,Романівський РВ ДВС ГТУЮ у Житомирській області 
34900660,34767055,Ружинський РВ ДВС ГТУЮ у Житомирській області 
34900660,34928858,Червоноармійський РВ ДВС ГТУЮ у Житомирській області
34900660,34909023,Черняхівський РВ ДВС ГТУЮ у Житомирській області 
34900660,34868511,Чуднівський РВ ДВС ГТУЮ у Житомирській області 
0,34888449,ГТУЮ в Закарпатській області
34888449,35055760,Берегівський РВ ДВС ГТУЮ у Закарпатській області
34888449,34788981,Великоберезнянський РВ ДВС ГТУЮ у Закарпатській області
34888449,34991720,Виноградівський РВ ДВС ГТУЮ у Закарпатській області
34888449,34197639,Воловецький РВ ДВС ГТУЮ у Закарпатській області
34888449,34783035,Іршавський РВ ДВС ГТУЮ у Закарпатській області
34888449,34888061,Міжгірський РВ ДВС ГТУЮ у Закарпатській області
34888449,34850923,Мукачівський МВ ДВС ГТУЮ у Закарпатській області
34888449,34850750,Мукачівський РВ ДВС ГТУЮ у Закарпатській області
34888449,34570719,Перечинський РВ ДВС ГТУЮ у Закарпатській області
34888449,34909374,Рахівський РВ ДВС ГТУЮ у Закарпатській області
34888449,34457229,Свалявський РВ ДВС ГТУЮ у Закарпатській області
34888449,34982020,Тячівський РВ ДВС ГТУЮ у Закарпатській області
34888449,35045459,Ужгородський МВ ДВС ГТУЮ у Закарпатській області
34888449,35045464,Ужгородський РВ ДВС ГТУЮ у Закарпатській області
34888449,34460960,Хустський РВ ДВС ГТУЮ у Закарпатській області
0,2891463,ГТУЮ у Запорізькій області
2891463,34986553,Василівський РВ ДВС ГТУЮ у Запорізькій області
2891463,34158060,В-Білозерський РВ ДВС ГТУЮ у Запорізькій області
2891463,34877505,Веселівський РВ ДВС ГТУЮ у Запорізькій області
2891463,35045946,Вільнянський РВ ДВС ГТУЮ у Запорізькій області
2891463,34848322,Гуляйпільський РВ ДВС ГТУЮ у Запорізькій області
2891463,35036905,Запорізький РВ ДВС ГТУЮ у Запорізькій області
2891463,34888606,К-Дніпровський РВ ДВС ГТУЮ у Запорізькій області
2891463,34262421,Куйбишевський РВ ДВС ГТУЮ у Запорізькій області
2891463,34378190,Михайлівський РВ ДВС ГТУЮ у Запорізькій області
2891463,34517262,Н-Миколаївський РВ ДВС ГТУЮ у Запорізькій області
2891463,34960781,Оріхівський РВ ДВС ГТУЮ у Запорізькій області
2891463,35007555,Пологівський РВ ДВС ГТУЮ у Запорізькій області
2891463,34920513,Приазовський РВ ДВС ГТУЮ у Запорізькій області
2891463,34960603,Приморський РВ ДВС ГТУЮ у Запорізькій області
2891463,34611110,Розівський РВ ДВС ГТУЮ у Запорізькій області
2891463,34843900,Токмацький МРВ ДВС ГТУЮ у Запорізькій області
2891463,34850991,Чернігівський РВ ДВС ГТУЮ у Запорізькій області
2891463,35037605,Якимівський РВ ДВС ГТУЮ у Запорізькій області
2891463,35036491,Бердянський МРВ ДВС ГТУЮ у Запорізькій області
2891463,34976173,Мелітопольський МРВ ДВС ГТУЮ у Запорізькій області
2891463,34909725,Енергодарський МВ ДВС ГТУЮ у Запорізькій області
2891463,35037521,Олександрівський ВДВС м.Запоріжжя ГТУЮ у Запорізькій області
2891463,35037081,Заводський ВДВС м.Запоріжжя ГТУЮ у Запорізькій області
2891463,35037364,Комунарський ВДВС м.Запоріжжя ГТУЮ у Запорізькій області
2891463,35036926,Дніпровський ВДВС м.Запоріжжя ГТУЮ у Запорізькій області
2891463,35037170,Вознесенівський ВДВС м.Запоріжжя ГТУЮ у Запорізькій області
2891463,35037228,Шевченківський ВДВС м.Запоріжжя ГТУЮ у Запорізькій області
2891463,35037233,Хортицький ВДВС м.Запоріжжя ГТУЮ у Запорізькій області
0,34844679,ГТУЮ в Івано-Франківській області
34844679,35037846,Богородчанський РВ ДВС ГТУЮ в Івано-Франківській області
34844679,34505063,Болехівський МВ ДВС ГТУЮ в Івано-Франківській області
34844679,35078278,Галицький РВ ДВС ГТУЮ в Івано-Франківській області
34844679,34960967,Городенківський РВ ДВС ГТУЮ в Івано-Франківській області
34844679,34536065,Долинський РВ ДВС ГТУЮ в Івано-Франківській області
34844679,35021710,Івано-Франківський МВ ДВС ГТУЮ в Івано-Франківській області
34844679,38472755,Калуський МРВ ДВС ГТУЮ в Івано-Франківській області
34844679,38367905,Коломийський МРВ ДВС ГТУЮ в Івано-Франківській області
34844679,34701701,Косівський РВ ДВС ГТУЮ в Івано-Франківській області
34844679,34570881,Надвірнянський РВ ДВС ГТУЮ в Івано-Франківській області
34844679,35065082,Рогатинський РВ ДВС ГТУЮ в Івано-Франківській області
34844679,34928989,Рожнятівський РВ ДВС ГТУЮ в Івано-Франківській області
34844679,34830320,Снятинський РВ ДВС ГТУЮ в Івано-Франківській області
34844679,35018996,Тисменицький РВ ДВС ГТУЮ в Івано-Франківській області
34844679,34023481,Тлумацький РВ ДВС ГТУЮ в Івано-Франківській області
34844679,34461173,Яремчанський МВ ДВС ГТУЮ в Івано-Франківській області
34844679,34198171,Верховинський РВ ДВС ГТУЮ в Івано-Франківській області 
0,34481907,ГТУЮ у Київській області
34481907,34976875,Баришівський РВ ДВС ГТУЮ у Київській області
34481907,34790409,Тетіївський РВ ДВС ГТУЮ у Київській області 
34481907,34846037,Білоцерківський РВ ДВС ГТУЮ у Київській області
34481907,34749497,Згурівський РВ ДВС ГТУЮ у Київській області
34481907,34842289,Васильківський МРВ ДВС ГТУЮ у Київській області
34481907,34970119,Миронівський РВ ДВС ГТУЮ у Київській області
34481907,34341108,Ставищенський РВ ДВС ГТУЮ у Київській області
34481907,34779694,Бородянський РВ ДВС ГТУЮ у Київській області
34481907,34842797,Іванківський міжрайонний ВДВС ГТУЮ у Київській області
34481907,35013495,Рокитнянський РВ ДВС ГТУЮ у Київській області
34481907,34767228,Кагарлицький РВ ДВС ГТУЮ у Київській області
34481907,34846021,Білоцерківський МВ ДВС ГТУЮ у Київській області
34481907,34903037,Києво-Святошинський РВ ДВС ГТУЮ у Київській області
34481907,34837745,Броварський МРВ ДВС ГТУЮ у Київській області
